state,load_value,time
HARYANA,4391,1713085007.4122355
HIMACHAL,1047,1713085007.4122355
J & K,2066,1713085007.4122355
PUNJAB,4900,1713085007.4122355
RAJASTHAN,10944,1713085007.4122355
UTTARAKHAND,1248,1713085007.4122355
UTTAR-PRADESH,13428,1713085007.4122355
CHANDIGARH,151,1713085907.604847
HARYANA,4393,1713085907.604847
HIMACHAL,1059,1713085907.604847
J & K,2039,1713085907.604847
PUNJAB,4971,1713085907.604847
RAJASTHAN,10706,1713085907.604847
UTTARAKHAND,1270,1713085907.604847
UTTAR-PRADESH,13533,1713085907.604847
CHANDIGARH,161,1713086807.1081173
HARYANA,4422,1713086807.1081173
HIMACHAL,1053,1713086807.1081173
J & K,2005,1713086807.1081173
PUNJAB,4971,1713086807.1081173
RAJASTHAN,11332,1713086807.1081173
UTTARAKHAND,1323,1713086807.1081173
UTTAR-PRADESH,13645,1713086807.1081173
CHANDIGARH,161,1713087738.636987
HARYANA,4453,1713087738.636987
HIMACHAL,1050,1713087738.636987
J & K,2088,1713087738.636987
PUNJAB,4964,1713087738.636987
RAJASTHAN,11384,1713087738.636987
UTTARAKHAND,1360,1713087738.636987
UTTAR-PRADESH,13590,1713087738.636987
CHANDIGARH,160,1713088607.5409844
HARYANA,4440,1713088607.5409844
HIMACHAL,1051,1713088607.5409844
J & K,2100,1713088607.5409844
PUNJAB,5020,1713088607.5409844
RAJASTHAN,11319,1713088607.5409844
UTTARAKHAND,1401,1713088607.5409844
UTTAR-PRADESH,13691,1713088607.5409844
CHANDIGARH,159,1713089507.6409838
HARYANA,4485,1713089507.6409838
HIMACHAL,1026,1713089507.6409838
J & K,2041,1713089507.6409838
PUNJAB,5050,1713089507.6409838
RAJASTHAN,11223,1713089507.6409838
UTTARAKHAND,1395,1713089507.6409838
UTTAR-PRADESH,13639,1713089507.6409838
CHANDIGARH,156,1713090439.5520663
HARYANA,4425,1713090439.5520663
HIMACHAL,1005,1713090439.5520663
J & K,2139,1713090439.5520663
PUNJAB,5057,1713090439.5520663
RAJASTHAN,11176,1713090439.5520663
UTTARAKHAND,1444,1713090439.5520663
UTTAR-PRADESH,13612,1713090439.5520663
CHANDIGARH,152,1713091307.3517957
HARYANA,4448,1713091307.3517957
HIMACHAL,1013,1713091307.3517957
J & K,2076,1713091307.3517957
PUNJAB,5086,1713091307.3517957
RAJASTHAN,11060,1713091307.3517957
UTTARAKHAND,1443,1713091307.3517957
UTTAR-PRADESH,13712,1713091307.3517957
CHANDIGARH,153,1713092240.4963007
HARYANA,4488,1713092240.4963007
HIMACHAL,1012,1713092240.4963007
J & K,2096,1713092240.4963007
PUNJAB,5211,1713092240.4963007
RAJASTHAN,10846,1713092240.4963007
UTTARAKHAND,1416,1713092240.4963007
UTTAR-PRADESH,13831,1713092240.4963007
CHANDIGARH,154,1713093107.4001892
HARYANA,4445,1713093107.4001892
HIMACHAL,1037,1713093107.4001892
J & K,1988,1713093107.4001892
PUNJAB,5254,1713093107.4001892
RAJASTHAN,10657,1713093107.4001892
UTTARAKHAND,1381,1713093107.4001892
UTTAR-PRADESH,13839,1713093107.4001892
CHANDIGARH,157,1713094038.465847
HARYANA,4472,1713094038.465847
HIMACHAL,1035,1713094038.465847
J & K,2168,1713094038.465847
PUNJAB,5279,1713094038.465847
RAJASTHAN,10504,1713094038.465847
UTTARAKHAND,1398,1713094038.465847
UTTAR-PRADESH,14198,1713094038.465847
CHANDIGARH,161,1713094907.459313
HARYANA,4542,1713094907.459313
HIMACHAL,1088,1713094907.459313
J & K,2261,1713094907.459313
PUNJAB,5260,1713094907.459313
RAJASTHAN,10210,1713094907.459313
UTTARAKHAND,1432,1713094907.459313
UTTAR-PRADESH,14481,1713094907.459313
CHANDIGARH,162,1713095807.25998
HARYANA,4656,1713095807.25998
HIMACHAL,1105,1713095807.25998
J & K,2150,1713095807.25998
PUNJAB,5354,1713095807.25998
RAJASTHAN,10053,1713095807.25998
UTTARAKHAND,1431,1713095807.25998
UTTAR-PRADESH,15075,1713095807.25998
CHANDIGARH,164,1713096707.1683202
HARYANA,4749,1713096707.1683202
HIMACHAL,1080,1713096707.1683202
J & K,2166,1713096707.1683202
PUNJAB,5356,1713096707.1683202
RAJASTHAN,9910,1713096707.1683202
UTTARAKHAND,1471,1713096707.1683202
UTTAR-PRADESH,15387,1713096707.1683202
CHANDIGARH,165,1713097638.3530912
HARYANA,4868,1713097638.3530912
HIMACHAL,1084,1713097638.3530912
J & K,2159,1713097638.3530912
PUNJAB,5442,1713097638.3530912
RAJASTHAN,9681,1713097638.3530912
UTTARAKHAND,1504,1713097638.3530912
UTTAR-PRADESH,15709,1713097638.3530912
CHANDIGARH,166,1713098507.5500176
HARYANA,5155,1713098507.5500176
HIMACHAL,1082,1713098507.5500176
J & K,2040,1713098507.5500176
PUNJAB,5509,1713098507.5500176
RAJASTHAN,9507,1713098507.5500176
UTTARAKHAND,1512,1713098507.5500176
UTTAR-PRADESH,16414,1713098507.5500176
CHANDIGARH,176,1713099407.639514
HARYANA,5597,1713099407.639514
HIMACHAL,1099,1713099407.639514
J & K,2132,1713099407.639514
PUNJAB,5604,1713099407.639514
RAJASTHAN,9382,1713099407.639514
UTTARAKHAND,1526,1713099407.639514
UTTAR-PRADESH,17217,1713099407.639514
CHANDIGARH,181,1713100307.239802
HARYANA,5657,1713100307.239802
HIMACHAL,1115,1713100307.239802
J & K,2269,1713100307.239802
PUNJAB,5705,1713100307.239802
RAJASTHAN,9490,1713100307.239802
UTTARAKHAND,1553,1713100307.239802
UTTAR-PRADESH,18229,1713100307.239802
CHANDIGARH,188,1713101248.3796427
HARYANA,5787,1713101248.3796427
HIMACHAL,1086,1713101248.3796427
J & K,2234,1713101248.3796427
PUNJAB,5766,1713101248.3796427
RAJASTHAN,9683,1713101248.3796427
UTTARAKHAND,1584,1713101248.3796427
UTTAR-PRADESH,19131,1713101248.3796427
CHANDIGARH,194,1713102107.7804427
HARYANA,6444,1713102107.7804427
HIMACHAL,1109,1713102107.7804427
J & K,2188,1713102107.7804427
PUNJAB,5844,1713102107.7804427
RAJASTHAN,10005,1713102107.7804427
UTTARAKHAND,1664,1713102107.7804427
UTTAR-PRADESH,20070,1713102107.7804427
CHANDIGARH,198,1713103007.7915294
HARYANA,6749,1713103007.7915294
HIMACHAL,1168,1713103007.7915294
J & K,2239,1713103007.7915294
PUNJAB,5989,1713103007.7915294
RAJASTHAN,10322,1713103007.7915294
UTTARAKHAND,1665,1713103007.7915294
UTTAR-PRADESH,20822,1713103007.7915294
CHANDIGARH,198,1713103907.4869177
HARYANA,6722,1713103907.4869177
HIMACHAL,1159,1713103907.4869177
J & K,2337,1713103907.4869177
PUNJAB,6013,1713103907.4869177
RAJASTHAN,10479,1713103907.4869177
UTTARAKHAND,1662,1713103907.4869177
UTTAR-PRADESH,21091,1713103907.4869177
CHANDIGARH,198,1713104807.2926114
HARYANA,6792,1713104807.2926114
HIMACHAL,1179,1713104807.2926114
J & K,2346,1713104807.2926114
PUNJAB,5887,1713104807.2926114
RAJASTHAN,10483,1713104807.2926114
UTTARAKHAND,1618,1713104807.2926114
UTTAR-PRADESH,21228,1713104807.2926114
CHANDIGARH,196,1713105707.2804832
HARYANA,6842,1713105707.2804832
HIMACHAL,1096,1713105707.2804832
J & K,2604,1713105707.2804832
PUNJAB,5783,1713105707.2804832
RAJASTHAN,10321,1713105707.2804832
UTTARAKHAND,1609,1713105707.2804832
UTTAR-PRADESH,21132,1713105707.2804832
CHANDIGARH,195,1713106607.0849566
HARYANA,6957,1713106607.0849566
HIMACHAL,1118,1713106607.0849566
J & K,2527,1713106607.0849566
PUNJAB,5713,1713106607.0849566
RAJASTHAN,10298,1713106607.0849566
UTTARAKHAND,1590,1713106607.0849566
UTTAR-PRADESH,21061,1713106607.0849566
CHANDIGARH,191,1713107507.3791642
HARYANA,7050,1713107507.3791642
HIMACHAL,1048,1713107507.3791642
J & K,2454,1713107507.3791642
PUNJAB,5722,1713107507.3791642
RAJASTHAN,10060,1713107507.3791642
UTTARAKHAND,1596,1713107507.3791642
UTTAR-PRADESH,21164,1713107507.3791642
CHANDIGARH,189,1713108407.4879754
HARYANA,7086,1713108407.4879754
HIMACHAL,1043,1713108407.4879754
J & K,2373,1713108407.4879754
PUNJAB,5706,1713108407.4879754
RAJASTHAN,10248,1713108407.4879754
UTTARAKHAND,1596,1713108407.4879754
UTTAR-PRADESH,21109,1713108407.4879754
CHANDIGARH,178,1713109307.687611
HARYANA,7039,1713109307.687611
HIMACHAL,1077,1713109307.687611
J & K,2456,1713109307.687611
PUNJAB,5603,1713109307.687611
RAJASTHAN,10197,1713109307.687611
UTTARAKHAND,1589,1713109307.687611
UTTAR-PRADESH,21089,1713109307.687611
CHANDIGARH,178,1713110207.5887954
HARYANA,6957,1713110207.5887954
HIMACHAL,1040,1713110207.5887954
J & K,2375,1713110207.5887954
PUNJAB,5535,1713110207.5887954
RAJASTHAN,10165,1713110207.5887954
UTTARAKHAND,1559,1713110207.5887954
UTTAR-PRADESH,20979,1713110207.5887954
CHANDIGARH,177,1713111107.2862544
HARYANA,6900,1713111107.2862544
HIMACHAL,968,1713111107.2862544
J & K,2450,1713111107.2862544
PUNJAB,5455,1713111107.2862544
RAJASTHAN,10115,1713111107.2862544
UTTARAKHAND,1524,1713111107.2862544
UTTAR-PRADESH,21025,1713111107.2862544
CHANDIGARH,174,1713112007.091587
HARYANA,6802,1713112007.091587
HIMACHAL,939,1713112007.091587
J & K,2359,1713112007.091587
PUNJAB,5399,1713112007.091587
RAJASTHAN,10048,1713112007.091587
UTTARAKHAND,1505,1713112007.091587
UTTAR-PRADESH,21002,1713112007.091587
CHANDIGARH,169,1713112907.0861638
HARYANA,6792,1713112907.0861638
HIMACHAL,1003,1713112907.0861638
J & K,2415,1713112907.0861638
PUNJAB,5353,1713112907.0861638
RAJASTHAN,10056,1713112907.0861638
UTTARAKHAND,1486,1713112907.0861638
UTTAR-PRADESH,20877,1713112907.0861638
CHANDIGARH,170,1713113807.1921926
HARYANA,6714,1713113807.1921926
HIMACHAL,944,1713113807.1921926
J & K,2320,1713113807.1921926
PUNJAB,5320,1713113807.1921926
RAJASTHAN,10247,1713113807.1921926
UTTARAKHAND,1495,1713113807.1921926
UTTAR-PRADESH,20882,1713113807.1921926
CHANDIGARH,167,1713114707.589566
HARYANA,6610,1713114707.589566
HIMACHAL,912,1713114707.589566
J & K,2333,1713114707.589566
PUNJAB,5290,1713114707.589566
RAJASTHAN,10127,1713114707.589566
UTTARAKHAND,1465,1713114707.589566
UTTAR-PRADESH,20864,1713114707.589566
CHANDIGARH,164,1713115638.5664217
HARYANA,6557,1713115638.5664217
HIMACHAL,846,1713115638.5664217
J & K,2279,1713115638.5664217
PUNJAB,5272,1713115638.5664217
RAJASTHAN,10091,1713115638.5664217
UTTARAKHAND,1463,1713115638.5664217
UTTAR-PRADESH,20731,1713115638.5664217
CHANDIGARH,162,1713116507.7575648
HARYANA,6462,1713116507.7575648
HIMACHAL,838,1713116507.7575648
J & K,2109,1713116507.7575648
PUNJAB,5233,1713116507.7575648
RAJASTHAN,9859,1713116507.7575648
UTTARAKHAND,1477,1713116507.7575648
UTTAR-PRADESH,20661,1713116507.7575648
CHANDIGARH,157,1713117407.3636203
HARYANA,6460,1713117407.3636203
HIMACHAL,842,1713117407.3636203
J & K,2022,1713117407.3636203
PUNJAB,5192,1713117407.3636203
RAJASTHAN,10083,1713117407.3636203
UTTARAKHAND,1461,1713117407.3636203
UTTAR-PRADESH,20567,1713117407.3636203
CHANDIGARH,155,1713118338.7155795
HARYANA,6335,1713118338.7155795
HIMACHAL,901,1713118338.7155795
J & K,2023,1713118338.7155795
PUNJAB,5121,1713118338.7155795
RAJASTHAN,9993,1713118338.7155795
UTTARAKHAND,1403,1713118338.7155795
UTTAR-PRADESH,20380,1713118338.7155795
CHANDIGARH,153,1713119207.502925
HARYANA,6275,1713119207.502925
HIMACHAL,797,1713119207.502925
J & K,1981,1713119207.502925
PUNJAB,5080,1713119207.502925
RAJASTHAN,9955,1713119207.502925
UTTARAKHAND,1384,1713119207.502925
UTTAR-PRADESH,20353,1713119207.502925
CHANDIGARH,151,1713120107.7104452
HARYANA,6156,1713120107.7104452
HIMACHAL,761,1713120107.7104452
J & K,2037,1713120107.7104452
PUNJAB,5058,1713120107.7104452
RAJASTHAN,9877,1713120107.7104452
UTTARAKHAND,1387,1713120107.7104452
UTTAR-PRADESH,20109,1713120107.7104452
CHANDIGARH,150,1713121049.8653286
HARYANA,6101,1713121049.8653286
HIMACHAL,812,1713121049.8653286
J & K,1931,1713121049.8653286
PUNJAB,4988,1713121049.8653286
RAJASTHAN,9834,1713121049.8653286
UTTARAKHAND,1406,1713121049.8653286
UTTAR-PRADESH,19913,1713121049.8653286
CHANDIGARH,148,1713121907.1747577
HARYANA,6082,1713121907.1747577
HIMACHAL,839,1713121907.1747577
J & K,1893,1713121907.1747577
PUNJAB,4984,1713121907.1747577
RAJASTHAN,9787,1713121907.1747577
UTTARAKHAND,1383,1713121907.1747577
UTTAR-PRADESH,19803,1713121907.1747577
CHANDIGARH,146,1713122838.4457548
HARYANA,5983,1713122838.4457548
HIMACHAL,796,1713122838.4457548
J & K,1890,1713122838.4457548
PUNJAB,4953,1713122838.4457548
RAJASTHAN,9765,1713122838.4457548
UTTARAKHAND,1355,1713122838.4457548
UTTAR-PRADESH,19723,1713122838.4457548
CHANDIGARH,144,1713123707.4349406
HARYANA,5919,1713123707.4349406
HIMACHAL,853,1713123707.4349406
J & K,1867,1713123707.4349406
PUNJAB,4920,1713123707.4349406
RAJASTHAN,9640,1713123707.4349406
UTTARAKHAND,1389,1713123707.4349406
UTTAR-PRADESH,19580,1713123707.4349406
CHANDIGARH,141,1713124649.711624
HARYANA,5887,1713124649.711624
HIMACHAL,910,1713124649.711624
J & K,1816,1713124649.711624
PUNJAB,4946,1713124649.711624
RAJASTHAN,9592,1713124649.711624
UTTARAKHAND,1379,1713124649.711624
UTTAR-PRADESH,19402,1713124649.711624
CHANDIGARH,139,1713125508.910162
HARYANA,5794,1713125508.910162
HIMACHAL,852,1713125508.910162
J & K,1784,1713125508.910162
PUNJAB,4916,1713125508.910162
RAJASTHAN,9565,1713125508.910162
UTTARAKHAND,1389,1713125508.910162
UTTAR-PRADESH,19265,1713125508.910162
CHANDIGARH,139,1713126407.9076316
HARYANA,5825,1713126407.9076316
HIMACHAL,902,1713126407.9076316
J & K,1765,1713126407.9076316
PUNJAB,4913,1713126407.9076316
RAJASTHAN,9505,1713126407.9076316
UTTARAKHAND,1403,1713126407.9076316
UTTAR-PRADESH,19113,1713126407.9076316
CHANDIGARH,136,1713127338.4710057
HARYANA,5794,1713127338.4710057
HIMACHAL,839,1713127338.4710057
J & K,1731,1713127338.4710057
PUNJAB,4870,1713127338.4710057
RAJASTHAN,9379,1713127338.4710057
UTTARAKHAND,1381,1713127338.4710057
UTTAR-PRADESH,18950,1713127338.4710057
CHANDIGARH,135,1713128207.2630467
HARYANA,5734,1713128207.2630467
HIMACHAL,841,1713128207.2630467
J & K,1761,1713128207.2630467
PUNJAB,4878,1713128207.2630467
RAJASTHAN,9385,1713128207.2630467
UTTARAKHAND,1374,1713128207.2630467
UTTAR-PRADESH,18805,1713128207.2630467
CHANDIGARH,134,1713129107.5667222
HARYANA,5700,1713129107.5667222
HIMACHAL,845,1713129107.5667222
J & K,1737,1713129107.5667222
PUNJAB,4848,1713129107.5667222
RAJASTHAN,9369,1713129107.5667222
UTTARAKHAND,1390,1713129107.5667222
UTTAR-PRADESH,18744,1713129107.5667222
CHANDIGARH,134,1713130007.3648574
HARYANA,5734,1713130007.3648574
HIMACHAL,815,1713130007.3648574
J & K,1728,1713130007.3648574
PUNJAB,4893,1713130007.3648574
RAJASTHAN,9275,1713130007.3648574
UTTARAKHAND,1411,1713130007.3648574
UTTAR-PRADESH,18677,1713130007.3648574
CHANDIGARH,135,1713130907.5634885
HARYANA,5710,1713130907.5634885
HIMACHAL,771,1713130907.5634885
J & K,1753,1713130907.5634885
PUNJAB,4882,1713130907.5634885
RAJASTHAN,9237,1713130907.5634885
UTTARAKHAND,1377,1713130907.5634885
UTTAR-PRADESH,18541,1713130907.5634885
CHANDIGARH,133,1713131807.3659642
HARYANA,5647,1713131807.3659642
HIMACHAL,796,1713131807.3659642
J & K,1752,1713131807.3659642
PUNJAB,4894,1713131807.3659642
RAJASTHAN,9192,1713131807.3659642
UTTARAKHAND,1377,1713131807.3659642
UTTAR-PRADESH,18447,1713131807.3659642
CHANDIGARH,132,1713132738.946777
HARYANA,5650,1713132738.946777
HIMACHAL,854,1713132738.946777
J & K,1757,1713132738.946777
PUNJAB,4910,1713132738.946777
RAJASTHAN,9206,1713132738.946777
UTTARAKHAND,1378,1713132738.946777
UTTAR-PRADESH,18369,1713132738.946777
CHANDIGARH,133,1713133607.5447505
HARYANA,5687,1713133607.5447505
HIMACHAL,859,1713133607.5447505
J & K,1770,1713133607.5447505
PUNJAB,4954,1713133607.5447505
RAJASTHAN,9112,1713133607.5447505
UTTARAKHAND,1399,1713133607.5447505
UTTAR-PRADESH,18360,1713133607.5447505
CHANDIGARH,133,1713134507.8531919
HARYANA,5660,1713134507.8531919
HIMACHAL,855,1713134507.8531919
J & K,1803,1713134507.8531919
PUNJAB,5003,1713134507.8531919
RAJASTHAN,9028,1713134507.8531919
UTTARAKHAND,1378,1713134507.8531919
UTTAR-PRADESH,18281,1713134507.8531919
CHANDIGARH,133,1713135407.5383956
HARYANA,5696,1713135407.5383956
HIMACHAL,900,1713135407.5383956
J & K,1812,1713135407.5383956
PUNJAB,5126,1713135407.5383956
RAJASTHAN,9196,1713135407.5383956
UTTARAKHAND,1409,1713135407.5383956
UTTAR-PRADESH,18317,1713135407.5383956
CHANDIGARH,134,1713136307.2510564
HARYANA,5652,1713136307.2510564
HIMACHAL,938,1713136307.2510564
J & K,1829,1713136307.2510564
PUNJAB,5349,1713136307.2510564
RAJASTHAN,9263,1713136307.2510564
UTTARAKHAND,1422,1713136307.2510564
UTTAR-PRADESH,18391,1713136307.2510564
CHANDIGARH,138,1713137207.3523684
HARYANA,5768,1713137207.3523684
HIMACHAL,1011,1713137207.3523684
J & K,1927,1713137207.3523684
PUNJAB,5491,1713137207.3523684
RAJASTHAN,9313,1713137207.3523684
UTTARAKHAND,1463,1713137207.3523684
UTTAR-PRADESH,18526,1713137207.3523684
CHANDIGARH,143,1713138107.650716
HARYANA,5867,1713138107.650716
HIMACHAL,1116,1713138107.650716
J & K,2021,1713138107.650716
PUNJAB,5753,1713138107.650716
RAJASTHAN,9461,1713138107.650716
UTTARAKHAND,1500,1713138107.650716
UTTAR-PRADESH,18446,1713138107.650716
CHANDIGARH,150,1713139039.1519892
HARYANA,6106,1713139039.1519892
HIMACHAL,1176,1713139039.1519892
J & K,2103,1713139039.1519892
PUNJAB,6059,1713139039.1519892
RAJASTHAN,9913,1713139039.1519892
UTTARAKHAND,1598,1713139039.1519892
UTTAR-PRADESH,18541,1713139039.1519892
CHANDIGARH,154,1713139907.1487367
HARYANA,6294,1713139907.1487367
HIMACHAL,1185,1713139907.1487367
J & K,2126,1713139907.1487367
PUNJAB,6273,1713139907.1487367
RAJASTHAN,10131,1713139907.1487367
UTTARAKHAND,1657,1713139907.1487367
UTTAR-PRADESH,18426,1713139907.1487367
CHANDIGARH,165,1713141168.6776786
HARYANA,6452,1713141168.6776786
HIMACHAL,1278,1713141168.6776786
J & K,2257,1713141168.6776786
PUNJAB,6666,1713141168.6776786
RAJASTHAN,10585,1713141168.6776786
UTTARAKHAND,1777,1713141168.6776786
UTTAR-PRADESH,18154,1713141168.6776786
CHANDIGARH,171,1713141707.375118
HARYANA,6385,1713141707.375118
HIMACHAL,1301,1713141707.375118
J & K,2250,1713141707.375118
PUNJAB,6827,1713141707.375118
RAJASTHAN,10728,1713141707.375118
UTTARAKHAND,1789,1713141707.375118
UTTAR-PRADESH,17534,1713141707.375118
CHANDIGARH,183,1713142607.7849042
HARYANA,6552,1713142607.7849042
HIMACHAL,1350,1713142607.7849042
J & K,2224,1713142607.7849042
PUNJAB,7086,1713142607.7849042
RAJASTHAN,10847,1713142607.7849042
UTTARAKHAND,1834,1713142607.7849042
UTTAR-PRADESH,17285,1713142607.7849042
CHANDIGARH,189,1713143548.6847432
HARYANA,6355,1713143548.6847432
HIMACHAL,1331,1713143548.6847432
J & K,2206,1713143548.6847432
PUNJAB,7246,1713143548.6847432
RAJASTHAN,11371,1713143548.6847432
UTTARAKHAND,1838,1713143548.6847432
UTTAR-PRADESH,17117,1713143548.6847432
CHANDIGARH,188,1713144407.6890352
HARYANA,6245,1713144407.6890352
HIMACHAL,1370,1713144407.6890352
J & K,2283,1713144407.6890352
PUNJAB,7246,1713144407.6890352
RAJASTHAN,11592,1713144407.6890352
UTTARAKHAND,1811,1713144407.6890352
UTTAR-PRADESH,16987,1713144407.6890352
CHANDIGARH,192,1713145307.7861543
HARYANA,5968,1713145307.7861543
HIMACHAL,1406,1713145307.7861543
J & K,2228,1713145307.7861543
PUNJAB,7194,1713145307.7861543
RAJASTHAN,11753,1713145307.7861543
UTTARAKHAND,1818,1713145307.7861543
UTTAR-PRADESH,16679,1713145307.7861543
CHANDIGARH,194,1713146207.2784538
HARYANA,5940,1713146207.2784538
HIMACHAL,1411,1713146207.2784538
J & K,2352,1713146207.2784538
PUNJAB,7175,1713146207.2784538
RAJASTHAN,12067,1713146207.2784538
UTTARAKHAND,1790,1713146207.2784538
UTTAR-PRADESH,16491,1713146207.2784538
CHANDIGARH,193,1713147107.3822222
HARYANA,5862,1713147107.3822222
HIMACHAL,1488,1713147107.3822222
J & K,2377,1713147107.3822222
PUNJAB,7121,1713147107.3822222
RAJASTHAN,12159,1713147107.3822222
UTTARAKHAND,1755,1713147107.3822222
UTTAR-PRADESH,16442,1713147107.3822222
CHANDIGARH,195,1713149038.666152
HARYANA,5398,1713149038.666152
HIMACHAL,1394,1713149038.666152
J & K,2398,1713149038.666152
PUNJAB,6952,1713149038.666152
RAJASTHAN,12104,1713149038.666152
UTTARAKHAND,1711,1713149038.666152
UTTAR-PRADESH,16780,1713149038.666152
CHANDIGARH,199,1713149807.2501156
HARYANA,5541,1713149807.2501156
HIMACHAL,1392,1713149807.2501156
J & K,2406,1713149807.2501156
PUNJAB,7020,1713149807.2501156
RAJASTHAN,11915,1713149807.2501156
UTTARAKHAND,1700,1713149807.2501156
UTTAR-PRADESH,16976,1713149807.2501156
CHANDIGARH,200,1713150739.6641676
HARYANA,5544,1713150739.6641676
HIMACHAL,1366,1713150739.6641676
J & K,2408,1713150739.6641676
PUNJAB,6714,1713150739.6641676
RAJASTHAN,12216,1713150739.6641676
UTTARAKHAND,1721,1713150739.6641676
UTTAR-PRADESH,17103,1713150739.6641676
CHANDIGARH,201,1713151607.4757113
HARYANA,5660,1713151607.4757113
HIMACHAL,1398,1713151607.4757113
J & K,2387,1713151607.4757113
PUNJAB,6775,1713151607.4757113
RAJASTHAN,12259,1713151607.4757113
UTTARAKHAND,1700,1713151607.4757113
UTTAR-PRADESH,17380,1713151607.4757113
CHANDIGARH,200,1713152507.7619705
HARYANA,5409,1713152507.7619705
HIMACHAL,1418,1713152507.7619705
J & K,2344,1713152507.7619705
PUNJAB,6647,1713152507.7619705
RAJASTHAN,12707,1713152507.7619705
UTTARAKHAND,1718,1713152507.7619705
UTTAR-PRADESH,17573,1713152507.7619705
CHANDIGARH,201,1713153478.5570922
HARYANA,5569,1713153478.5570922
HIMACHAL,1411,1713153478.5570922
J & K,2424,1713153478.5570922
PUNJAB,6571,1713153478.5570922
RAJASTHAN,12501,1713153478.5570922
UTTARAKHAND,1721,1713153478.5570922
UTTAR-PRADESH,18014,1713153478.5570922
CHANDIGARH,207,1713154307.449677
HARYANA,5629,1713154307.449677
HIMACHAL,1307,1713154307.449677
J & K,2462,1713154307.449677
PUNJAB,6569,1713154307.449677
RAJASTHAN,12536,1713154307.449677
UTTARAKHAND,1677,1713154307.449677
UTTAR-PRADESH,18352,1713154307.449677
CHANDIGARH,204,1713155207.553712
HARYANA,5640,1713155207.553712
HIMACHAL,1305,1713155207.553712
J & K,2439,1713155207.553712
PUNJAB,6488,1713155207.553712
RAJASTHAN,12613,1713155207.553712
UTTARAKHAND,1651,1713155207.553712
UTTAR-PRADESH,18435,1713155207.553712
CHANDIGARH,211,1713156138.1868687
HARYANA,5617,1713156138.1868687
HIMACHAL,1316,1713156138.1868687
J & K,2327,1713156138.1868687
PUNJAB,6261,1713156138.1868687
RAJASTHAN,12370,1713156138.1868687
UTTARAKHAND,1600,1713156138.1868687
UTTAR-PRADESH,18425,1713156138.1868687
CHANDIGARH,214,1713157007.4792137
HARYANA,5669,1713157007.4792137
HIMACHAL,1332,1713157007.4792137
J & K,2262,1713157007.4792137
PUNJAB,6174,1713157007.4792137
RAJASTHAN,12566,1713157007.4792137
UTTARAKHAND,1627,1713157007.4792137
UTTAR-PRADESH,18359,1713157007.4792137
CHANDIGARH,211,1713157907.3829725
HARYANA,5686,1713157907.3829725
HIMACHAL,1298,1713157907.3829725
J & K,2122,1713157907.3829725
PUNJAB,6205,1713157907.3829725
RAJASTHAN,12430,1713157907.3829725
UTTARAKHAND,1586,1713157907.3829725
UTTAR-PRADESH,18382,1713157907.3829725
CHANDIGARH,205,1713158838.3842657
HARYANA,5604,1713158838.3842657
HIMACHAL,1261,1713158838.3842657
J & K,2097,1713158838.3842657
PUNJAB,6181,1713158838.3842657
RAJASTHAN,12761,1713158838.3842657
UTTARAKHAND,1635,1713158838.3842657
UTTAR-PRADESH,18322,1713158838.3842657
CHANDIGARH,206,1713159707.6833267
HARYANA,5560,1713159707.6833267
HIMACHAL,1212,1713159707.6833267
J & K,2106,1713159707.6833267
PUNJAB,6131,1713159707.6833267
RAJASTHAN,12636,1713159707.6833267
UTTARAKHAND,1597,1713159707.6833267
UTTAR-PRADESH,17935,1713159707.6833267
CHANDIGARH,208,1713160607.8746636
HARYANA,5586,1713160607.8746636
HIMACHAL,1243,1713160607.8746636
J & K,2123,1713160607.8746636
PUNJAB,6003,1713160607.8746636
RAJASTHAN,12812,1713160607.8746636
UTTARAKHAND,1567,1713160607.8746636
UTTAR-PRADESH,17543,1713160607.8746636
CHANDIGARH,203,1713161508.2788396
HARYANA,5600,1713161508.2788396
HIMACHAL,1252,1713161508.2788396
J & K,2221,1713161508.2788396
PUNJAB,5954,1713161508.2788396
RAJASTHAN,12755,1713161508.2788396
UTTARAKHAND,1560,1713161508.2788396
UTTAR-PRADESH,17314,1713161508.2788396
CHANDIGARH,210,1713162407.3721693
HARYANA,5560,1713162407.3721693
HIMACHAL,1233,1713162407.3721693
J & K,2119,1713162407.3721693
PUNJAB,5923,1713162407.3721693
RAJASTHAN,12425,1713162407.3721693
UTTARAKHAND,1619,1713162407.3721693
UTTAR-PRADESH,17050,1713162407.3721693
CHANDIGARH,205,1713163308.3780499
HARYANA,5691,1713163308.3780499
HIMACHAL,1206,1713163308.3780499
J & K,2051,1713163308.3780499
PUNJAB,5903,1713163308.3780499
RAJASTHAN,12503,1713163308.3780499
UTTARAKHAND,1656,1713163308.3780499
UTTAR-PRADESH,16671,1713163308.3780499
CHANDIGARH,199,1713164207.2744567
HARYANA,5823,1713164207.2744567
HIMACHAL,1194,1713164207.2744567
J & K,2084,1713164207.2744567
PUNJAB,5880,1713164207.2744567
RAJASTHAN,12535,1713164207.2744567
UTTARAKHAND,1604,1713164207.2744567
UTTAR-PRADESH,16151,1713164207.2744567
CHANDIGARH,198,1713165107.187195
HARYANA,5777,1713165107.187195
HIMACHAL,1132,1713165107.187195
J & K,2015,1713165107.187195
PUNJAB,5807,1713165107.187195
RAJASTHAN,12615,1713165107.187195
