state,load_value,time
CHANDIGARH,208,1713011238.957702
HARYANA,5242,1713011238.957702
HIMACHAL,1298,1713011238.957702
J & K,2056,1713011238.957702
PUNJAB,6083,1713011238.957702
RAJASTHAN,9517,1713011238.957702
UTTARAKHAND,1855,1713011238.957702
UTTAR-PRADESH,15799,1713011238.957702
CHANDIGARH,213,1713012107.4563558
HARYANA,5478,1713012107.4563558
HIMACHAL,1304,1713012107.4563558
J & K,2120,1713012107.4563558
PUNJAB,6231,1713012107.4563558
RAJASTHAN,9240,1713012107.4563558
UTTARAKHAND,1887,1713012107.4563558
UTTAR-PRADESH,16562,1713012107.4563558
CHANDIGARH,214,1713013038.4409187
HARYANA,5816,1713013038.4409187
HIMACHAL,1293,1713013038.4409187
J & K,2113,1713013038.4409187
PUNJAB,6288,1713013038.4409187
RAJASTHAN,9076,1713013038.4409187
UTTARAKHAND,1918,1713013038.4409187
UTTAR-PRADESH,17472,1713013038.4409187
CHANDIGARH,218,1713013907.8358078
HARYANA,5927,1713013907.8358078
HIMACHAL,1295,1713013907.8358078
J & K,2138,1713013907.8358078
PUNJAB,6337,1713013907.8358078
RAJASTHAN,9186,1713013907.8358078
UTTARAKHAND,1949,1713013907.8358078
UTTAR-PRADESH,18708,1713013907.8358078
CHANDIGARH,222,1713014839.1964343
HARYANA,6219,1713014839.1964343
HIMACHAL,1314,1713014839.1964343
J & K,2160,1713014839.1964343
PUNJAB,6355,1713014839.1964343
RAJASTHAN,9285,1713014839.1964343
UTTARAKHAND,1948,1713014839.1964343
UTTAR-PRADESH,19413,1713014839.1964343
CHANDIGARH,226,1713015707.298522
HARYANA,6896,1713015707.298522
HIMACHAL,1320,1713015707.298522
J & K,2351,1713015707.298522
PUNJAB,6482,1713015707.298522
RAJASTHAN,9558,1713015707.298522
UTTARAKHAND,1921,1713015707.298522
UTTAR-PRADESH,20335,1713015707.298522
CHANDIGARH,225,1713016640.5333571
HARYANA,7300,1713016640.5333571
HIMACHAL,1338,1713016640.5333571
J & K,2306,1713016640.5333571
PUNJAB,6531,1713016640.5333571
RAJASTHAN,9823,1713016640.5333571
UTTARAKHAND,1884,1713016640.5333571
UTTAR-PRADESH,20751,1713016640.5333571
CHANDIGARH,226,1713017507.634702
HARYANA,7297,1713017507.634702
HIMACHAL,1442,1713017507.634702
J & K,2303,1713017507.634702
PUNJAB,6464,1713017507.634702
RAJASTHAN,9927,1713017507.634702
UTTARAKHAND,1734,1713017507.634702
UTTAR-PRADESH,21038,1713017507.634702
CHANDIGARH,221,1713018472.7692668
HARYANA,7313,1713018472.7692668
HIMACHAL,1326,1713018472.7692668
J & K,2294,1713018472.7692668
PUNJAB,6330,1713018472.7692668
RAJASTHAN,9873,1713018472.7692668
UTTARAKHAND,1774,1713018472.7692668
